Show Name,Top Topic,Column Number,Relationships,Arts,Hunting,Entertainment,Investing,Outdoors,Wall Street,Legal,Sports,Religion,International Politics,NSFW,Self-Improvement,Pets,Opinion,Medicine,Automotive,Dating,Asia,Winter Holidays,Social Media,Literature,Eating,Farming / Gardening,Business,Nature,Food,Scientific Research,Photography,Beverages,News / Politics,Diet,Anatomy,Energy / Climate Change,Space,California,European Politics,Judicial,NBA,Drugs,Economics,Animals,Conflict / War,Music,Brain Science,Science,U.S. Politics,NFL,Places / Transportation,Disease,Fighting,Movies,Health Care,Race,Women's Health,Death / Disaster,Sleep / Spooky,Fitness,Conservative Politics,Digital Entrepreneurship,Crime,Startups,History,Comedy,Guns / Police,Family,Pro Wrestling,Medical Treatment,Colloquial,U.S. Election 2016,College Football,Sex,Cryptocurrency,TV,Fashion / Style,Radio,Communication,Tech,Money,Education,Mobile Tech
The New York Public Library Podcast,Communication,209,0.8756,0.8474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9512,0.2968,0.0000,0.0000,0.0000
The App Guy Podcast,Tech,210,0.3147,0.0000,0.0000,0.0000,0.0992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0376,0.0000,0.0563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3175,0.0000,0.0000,0.0000,0.4020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3101,0.0000,0.8930,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3412,0.0000,0.0000,0.0000,0.4331,0.9680,0.0000,0.0000,0.3957
ARRL The Doctor is In,Places / Transportation,211,0.0000,0.1063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0815,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0960,0.0000,0.7055,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0327,0.0000,0.0000,0.4945,0.0000,0.4138,0.0000,0.0000,0.2439
The Garbage Time Podcast with Katie Nolan,Sports,212,0.1840,0.0000,0.0000,0.0326,0.0000,0.0000,0.0000,0.0000,0.9418,0.0000,0.0000,0.0204,0.0000,0.0000,0.0418,0.0000,0.0000,0.1035,0.0000,0.0000,0.0000,0.0000,0.1916,0.0000,0.0157,0.0000,0.1573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,0.0000,0.0000,0.0000,0.0613,0.0000,0.0000,0.0000,0.0000,0.7452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0243,0.0000,0.1377,0.0000,0.0000,0.0000,0.0000
AppleInsider,Mobile Tech,213,0.0388,0.1024,0.0000,0.0642,0.2674,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.0378,0.0000,0.0096,0.0000,0.0819,0.0000,0.0000,0.0000,0.2631,0.0000,0.0000,0.0143,0.1021,0.0000,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0199,0.0000,0.0116,0.0000,0.0000,0.0149,0.0000,0.0000,0.0789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4198,0.0000,0.0000,0.0000,0.1121,0.0000,0.0000,0.0000,0.0497,1.0000,0.0054,0.0026,1.0000
TechCrunch,Tech,214,0.1249,0.0870,0.0000,0.0000,0.2021,0.0000,0.0000,0.0375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1369,0.0000,0.0000,0.0588,0.0000,0.0000,0.1235,0.0000,0.0000,0.0000,0.1531,0.0000,0.0000,0.0000,0.0367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0506,0.0588,0.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0250,0.0000,0.0233,0.0000,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5746,0.0000,0.0000,0.0000,0.0422,0.0349,0.0588,0.0098,0.0793,0.9472,0.0000,0.0000,0.8164
Salesman Podcast - The Worlds TOP Daily Sales And Selling Show,Business,215,0.5895,0.0000,0.0000,0.0000,0.4957,0.0000,0.0000,0.0000,0.0046,0.0000,0.0081,0.0000,0.0425,0.0000,0.0598,0.0000,0.0000,0.0000,0.0000,0.0000,0.1627,0.0000,0.0000,0.0000,0.8406,0.0000,0.0000,0.0370,0.0054,0.0000,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1126,0.1448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0000,0.7335,0.0000,0.1802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,0.1032,0.0000,0.0000,0.0000,0.0200,0.0000,0.0370,0.0000,0.6779,0.2279,0.0000,0.0000,0.0000
Jay Scott Outdoors Western Big Game Hunting and Fishing Podcast,Hunting,216,0.0046,0.0417,1.0000,0.0054,0.0000,1.0000,0.0000,0.0000,0.0153,0.0000,0.0000,0.0000,0.0000,0.0391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,0.0000,0.0000,0.0000,0.0000,0.0156,0.0307,0.0000,0.0000,0.0594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0579,0.0000,0.0061,0.0000,0.0000,0.0000,0.0086,0.0030,0.0000,0.0000,0.0000,0.1917,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0055,0.0242,0.0000,0.0000,0.0106
Jim Cornette Experience,Sports,217,0.0000,0.0276,0.0000,0.1052,0.0000,0.0000,0.0000,0.0000,0.8204,0.0000,0.0000,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0269,0.0000,0.0000,0.0415,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,0.0958,0.0000,0.0000,0.7796,0.0000,0.3287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NFL Fantasy Live,Sports,218,0.0000,0.0000,0.0000,0.0837,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9990,0.0000,0.0000,0.0000,0.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4229,0.0000,0.0368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
The Specialist,Race,219,0.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5058,0.0000,0.0000,0.9628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3724,0.0000,0.3504,0.0000,0.0000,0.0000
The Changelog,Cryptocurrency,220,0.1561,0.0481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3940,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.2216,1.0000,0.0000,0.0000,0.2621
Podcast Junkies,Digital Entrepreneurship,221,0.8582,0.0000,0.0000,0.7167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9398,0.0000,0.0000,0.0000,0.9093,0.0000,0.0000,0.0000,0.0000,0.5535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8721,0.0000,0.0000,0.0000,0.0000
History on Fire,History,222,0.2931,0.0000,0.0705,0.0000,0.0000,0.1091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8031,0.0000,0.0000,0.0000,0.0000,0.0000,0.1601,0.0000,0.0000,0.0000,0.0000,0.0000,0.7254,0.0000,0.0000,0.0000,0.1443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0931,0.1495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1804,0.0000,0.0000,0.0000,0.0000
World Update: Daily Commute,News / Politics,223,0.1525,0.0724,0.0000,0.0317,0.0343,0.0359,0.0000,0.2210,0.0056,0.0141,0.7005,0.0000,0.0000,0.0000,0.1727,0.0255,0.0000,0.0000,0.0158,0.0000,0.0116,0.0334,0.0000,0.0093,0.1045,0.0399,0.0000,0.0315,0.0048,0.0056,0.9501,0.0000,0.0000,0.0086,0.0147,0.0000,0.4627,0.1865,0.0000,0.0000,0.0666,0.0081,0.1306,0.0284,0.0123,0.0620,0.3900,0.0000,0.0088,0.0000,0.0000,0.0268,0.0048,0.0525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.0022,0.1364,0.0000,0.0077,0.0276,0.0000,0.0282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.1371,0.0163,0.0000,0.0076,0.0000
Guys We F****d,Relationships,224,0.9834,0.0000,0.0000,0.1692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4552,0.0000,0.0000,0.0839,0.0000,0.0000,0.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5037,0.0000,0.0611,0.0000,0.0000,0.6561,0.0000,0.0000,0.3996,0.0000,0.0000,0.0000,0.0000,0.3058,0.0000,0.0000,0.0000,0.0000
Inc. Uncensored,Tech,225,0.1178,0.0643,0.0000,0.0000,0.3132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3764,0.0000,0.0000,0.1403,0.0000,0.0000,0.5335,0.0000,0.2091,0.0000,0.5354,0.0000,0.3130,0.0000,0.0000,0.0000,0.0772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1172,0.0000,0.0000,0.0000,0.0940,0.0000,0.0000,0.0000,0.0000,0.7527,0.0000,0.0000,0.0925
Everyday Cyclist Podcast,Fitness,226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3619,0.0000,0.7132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8598,0.0000,0.0000,0.7554
Health  Nutrition and Functional Medicine - Dr. Ruscio Radio,Food,227,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0684,0.0000,0.0622,0.7239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1355,0.0000,0.0000,0.0000,0.8220,0.3743,0.0000,0.0000,0.0000,0.6652,0.1226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0725,0.5152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0543,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0309,0.0000,0.7355,0.0520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2077,0.0000,0.0000,0.0000,0.0000
Half Size Me,Communication,228,0.8636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6713,0.0000,0.0000,0.0000,0.0000,0.1257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7471,0.0000,0.0000,0.0000,0.0000,0.6939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1187,0.0000,0.0000,0.2760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8747,0.0000,0.0000,0.0000,0.0000
The Chalene Show | Motivation | Leadership | Confidence | Family | Fitness and Life coaching with Chalene Johnson,Self-Improvement,229,0.5560,0.0000,0.0000,0.0262,0.0000,0.0318,0.0243,0.0000,0.0000,0.0000,0.0000,0.0000,0.7010,0.0000,0.0000,0.0000,0.0000,0.2323,0.0000,0.0000,0.2673,0.0000,0.0447,0.0000,0.0892,0.0372,0.2518,0.0000,0.0000,0.0000,0.0000,0.2464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0741,0.1144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.2863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0414,0.0000,0.0845,0.0000,0.0000,0.4539,0.0000,0.0000,0.0000,0.0000,0.0000,0.1818,0.0000,0.4704,0.0381,0.0000,0.0125,0.0000
FuseBox Radio Broadcast w/ DJ Fusion & Ausar Ra Black Hawk,Race,230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5956,0.0000,0.0000,0.0000,0.0000,0.0000,0.9020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
The Main Draw,Colloquial,231,0.6366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7796,0.0000,0.1080,0.0000,0.0000,0.0000,0.4191,0.0000,0.0000,0.5898,0.0000,0.0000,0.0000,0.1176,0.0000,0.0000,0.0898,0.0000,0.0000,0.0000,0.0000,0.0000,0.1693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1303,0.0000,0.0000,0.0760,0.0000
The Catapult,Literature,232,0.6747,0.6729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Design The Life You Want,Relationships,233,1.0000,0.1671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2386,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
The Smart Passive Income Podcast,Digital Entrepreneurship,234,0.1868,0.0256,0.0000,0.0599,0.1236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.1600,0.0000,0.0254,0.0000,0.0056,0.0327,0.0000,0.0156,0.4320,0.0417,0.0253,0.0000,0.9225,0.0000,0.0240,0.0000,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,0.0117,0.0142,0.0000,0.0045,0.0000,0.0000,0.0000,0.0361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0305,0.0000,0.9513,0.0000,0.0796,0.0000,0.0368,0.0000,0.0029,0.0000,0.0000,0.3097,0.0000,0.0000,0.0023,0.0495,0.0000,0.0096,0.0183,0.1857,0.1299,0.0257,0.0162,0.0182
Screen Junkies Movie Fights,Entertainment,235,0.1501,0.0269,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.1969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1236,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1502,0.0000,0.0000,0.0000,0.0000,0.3030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1172,0.0000,0.0000,0.0000,0.0000
FT Alphachat,Opinion,236,0.5913,0.0000,0.0000,0.5351,0.8754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7103,0.0000,0.0000,0.0000,0.0000
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,Dating,237,0.6347,0.0000,0.0066,0.0276,0.0000,0.0000,0.0000,0.5704,0.0325,0.0000,0.0000,0.3949,0.0000,0.0000,0.0000,0.0000,0.0000,0.6934,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0537,0.0000,0.0000,0.0500,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5805,0.0000,0.0070,0.0234,0.0000,0.1228,0.0223,0.0000,0.5225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Hack The Entrepreneur: Entrepreneurship | Online Business | Startups,Digital Entrepreneurship,238,0.7431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.7285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8926,0.7822,0.0000,0.6537,0.0000
Pin/Kings,Communication,239,0.8816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4080,0.0000,0.0000,0.0000,0.0000,0.5414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8343,0.0000,0.0000,0.0000,0.0000,0.7201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
