Show Name,Top Topic,Column Number,Relationships,Arts,Hunting,Entertainment,Investing,Outdoors,Wall Street,Legal,Sports,Religion,International Politics,NSFW,Self-Improvement,Pets,Opinion,Medicine,Automotive,Dating,Asia,Winter Holidays,Social Media,Literature,Eating,Farming / Gardening,Business,Nature,Food,Scientific Research,Photography,Beverages,News / Politics,Diet,Anatomy,Energy / Climate Change,Space,California,European Politics,Judicial,NBA,Drugs,Economics,Animals,Conflict / War,Music,Brain Science,Science,U.S. Politics,NFL,Places / Transportation,Disease,Fighting,Movies,Health Care,Race,Women's Health,Death / Disaster,Sleep / Spooky,Fitness,Conservative Politics,Digital Entrepreneurship,Crime,Startups,History,Comedy,Guns / Police,Family,Pro Wrestling,Medical Treatment,Colloquial,U.S. Election 2016,College Football,Sex,Cryptocurrency,TV,Fashion / Style,Radio,Communication,Tech,Money,Education,Mobile Tech
Dr. Wayne W. Dyer Podcast,Communication,10,0.9980,0.1014,0.0000,0.0474,0.0000,0.0000,0.0000,0.0394,0.0273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0363,0.1478,0.0000,0.0479,0.0000,0.0000,0.0000,0.1268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1028,0.0000,0.0560,0.0000,0.0388,0.0000,0.0000,0.0368,0.0000,0.0182,0.0000,0.0000,0.0000,0.0443,0.6244,0.5565,0.0000,0.0000,0.0244,0.0000,0.0000,0.0517,0.0000,0.0000,0.0421,0.0000,0.0000,0.0000,0.0437,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.2702,0.0000,0.1816,0.1503,0.0000,0.0000,0.0000,0.0439,0.0000,0.0000,0.0000,1.0000,0.0352,0.0000,0.0000,0.0000
The Axe Files with David Axelrod,News / Politics,11,0.6275,0.0099,0.0000,0.0629,0.0000,0.0000,0.0000,0.0701,0.0357,0.0323,0.1555,0.0000,0.0000,0.0000,0.4279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0413,0.0000,0.0000,0.1136,0.0000,0.0000,0.0000,0.0000,0.0000,0.8782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,0.0736,0.0000,0.0000,0.1265,0.0000,0.1581,0.0000,0.0000,0.0000,0.6713,0.0248,0.0205,0.0000,0.0000,0.0343,0.1364,0.0398,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0840,0.0275,0.0000,0.0543,0.0000,0.0117,0.0227,0.1557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0305,0.7588,0.0065,0.0000,0.0733,0.0000
Full Stack Radio,Tech,12,0.0999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9809,0.0000,0.0000,0.0000,0.1199,1.0000,0.0000,0.0000,0.4488
Intelligence Squared U.S. Debates,Opinion,13,0.1220,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.3925,0.0053,0.0000,0.2420,0.0000,0.0237,0.0000,0.9941,0.0431,0.0370,0.0000,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.2548,0.0000,0.0000,0.0241,0.0000,0.0000,0.5465,0.0000,0.0000,0.0528,0.0085,0.0162,0.0209,0.4165,0.0000,0.0622,0.1928,0.0000,0.2083,0.0000,0.0370,0.0937,0.1903,0.0000,0.0000,0.0000,0.0073,0.0000,0.0741,0.1156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0916,0.0000,0.0000,0.0000,0.0341,0.0334,0.0000,0.0643,0.0000,0.1008,0.0000,0.1085,0.0000,0.0000,0.0000,0.0000,0.0551,0.0113,0.0000,0.1727,0.0000
The New Statesman Podcast,European Politics,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5181,0.6147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
The First 40 Miles: Hiking and Backpacking Podcast,Hunting,15,0.1621,0.0600,0.9600,0.0000,0.0000,0.9507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0192,0.0923,0.0000,0.0000,0.0000,0.0000,0.2485,0.0000,0.0361,0.3375,0.3438,0.0000,0.1140,0.0443,0.0000,0.0771,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1644,0.0000,0.0000,0.0442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0779,0.2387,0.0000,0.0000,0.0000,0.0714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0964,0.0000,0.1299,0.1208,0.0000,0.0000,0.0431
The Poscast with Joe Posnanski and Michael Schur,Colloquial,16,0.0725,0.0391,0.0258,0.1902,0.0000,0.0222,0.0000,0.0000,0.6617,0.0000,0.0000,0.0000,0.0000,0.0000,0.3360,0.0000,0.0879,0.0794,0.0000,0.0000,0.0000,0.0000,0.2524,0.0000,0.0000,0.0261,0.2958,0.0000,0.0000,0.0909,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3505,0.0378,0.0000,0.0000,0.1596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0449,0.0000,0.0000,0.0000,0.0000,0.9425,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Casper Presents: In Your Dreams with Chris Gethard,Sleep / Spooky,17,0.7271,0.0000,0.0000,0.1621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0739,0.0000,0.0000,0.0000,0.1395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2562,0.0000,0.2032,0.0000,0.0000,0.4086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0000,0.0000,0.0537,0.0000
The Awl,Eating,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.4656,0.0000,0.9868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3772,0.0000,0.0000,0.0000
No Jumper,NSFW,19,0.3011,0.2886,0.0000,0.0907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8431,0.0000,0.0000,0.0335,0.0000,0.0000,0.1200,0.0000,0.0000,0.1170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0428,0.0000,0.0159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,0.0000,0.0000,0.0000,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0367,0.0000,0.0000,0.0000,0.0000,0.5979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0000,0.1288,0.0138,0.0000,0.0000,0.0138
Profit. Power. Pursuit. A CreativeLive Podcast with Tara Gentile,Fitness,20,0.7947,0.0000,0.0000,0.0000,0.2873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9546,0.0000,0.0000,1.0000,0.0000
Stacking Benjamins: Earn  Save  and Spend Money With a Plan,Business,21,0.0973,0.0124,0.0000,0.1690,0.5412,0.0000,0.0000,0.0000,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0276,0.0618,0.0000,0.0249,0.0120,0.0000,0.0125,0.0000,0.9730,0.0000,0.0106,0.0000,0.0000,0.0000,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0308,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,0.0985,0.0563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0321,0.0000,0.0139,0.0000,0.0000,0.4847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0260,0.0888,0.8689,0.0301,0.0207
Youth Radio,Communication,22,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3314,0.5000,0.0000,0.0000,0.2386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7632,0.0000,0.0000,0.5000,0.0000
Sales Questions and Brutally Honest Answers - Get Answers To Your Hardest Selling Challenges,Business,23,0.1608,0.0377,0.0000,0.0000,0.5780,0.0000,0.0000,0.0371,0.0000,0.0000,0.0000,0.0000,0.1877,0.0000,0.0472,0.0000,0.0258,0.0000,0.0000,0.0000,0.2045,0.0307,0.0325,0.0000,0.8253,0.0000,0.0000,0.0742,0.0547,0.0000,0.0310,0.0000,0.0210,0.0000,0.0000,0.0000,0.0000,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0517,0.1048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1046,0.0000,0.5091,0.0000,0.2102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4035,0.0000,0.0000,0.0000,0.0801,0.0000,0.0000,0.0000,0.2262,0.4011,0.0000,0.0625,0.1487
The British History Podcast,History,24,0.3864,0.0000,0.0000,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,0.0224,0.0000,0.0000,0.0000,0.2635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0337,0.0000,0.0000,0.0000,0.0000,0.0000,0.6229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0943,0.0323,0.0000,0.0000,0.0176,0.0000,0.7267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9091,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0676,0.0000,0.0000,0.0000,0.4444,0.0542,0.0000,0.0000,0.0000
